BL Panda,6.425,10.5,7
BL Reddy,0,0,2
BM Ashkenazi,7.41,5.6,2
BM Brown,5.75,9.6,4
BM Chapungu,1,1.2,8
BM Chauhan,0,0,1
BM Dolley,6.584,25.64,1
BM Duckett,0,0,1
BM Edmondson,8.7,18.34,1
BM Scholtz,6.964285714,19.01428571,1
BM Scullard,6.67,15.56666667,4
BM Shafayat,2,0,1
BM Wheeler,9.1425,17.825,1
BMAJ Mendis,6.933333333,21.34444444,0
BMB Ekanayake,0,0,1
BMDK Mendis,7.056666667,16.66666667,7
BMK Patton,0,0,2
BMRNB Ratnayake,0,0,5
BMTT Mendis,0,0,0
BN Cooper,0,0,1
BN Jadeja,6.44,31.6,8
BN Shushu,5.88,5.7,2
BO Coad,9.975,17.5,0
BOP Fernando,0,0,5
BP Baria,14,0,2
BP Martin,8.076666667,26.85,1
BP Nash,6.22,6,2
BP Rodden,0,0,1
BP Sandeep,7.353333333,37.33333333,1
BR Dorey,7.84,18.475,1
BR Dunk,2.625,0,5
BR Hampton,14.6,0,5
BR McDermott,0,0,1
BR Orton,0,0,4
BR Shetty,0,0,1
BRM Taylor,0.76,2.3375,5
BS Bartley,11.33,36,1
BS Dean,14.5,12,7
BS Makhanya,8.45,37,0
BS Oakley,12.5,0,2
BS Pati,0,0,6
BS Smith,0,0,7
BS Wilson,0,0,0
BSR Das,7.166,4.8,0
BT Cockley,15,0,8
BT Foakes,0,0,0
BT Kruger,0,0,8
BT Mujuru,0,0,8
BT Slater,0,0,1
BTJ Wheal,7.59,16,1
BV Taylor,7.71,26.7,8
BV Vitori,7.141666667,31.65,2
BW Harmison,7.228,17.04,1
BW Hilfenhaus,7.97125,15.3125,2
BW Sanderson,6.46,15.26666667,9
BWKS Bulathwala,0,0,5
BY Arumathanthrige,0,0,9
C Bishnoi,8,6,8
C Bisson,0,0,2
C Bosch,8.475,40,1
C Burgess,0,0,0
C Carter,0,0,1
C Charles,10,6,5
C Chetty,0,0,8
C de Grandhomme,6.7975,14.5375,5
C de Silva,10.435,16.8,1
C Fanis,0,0,8
C Fortuin,0,0,9
C Frauenstein,5.636666667,13.26666667,8
C Gamage,6.75,0,9
C Ganapathy,7.4125,18.65,1
C Gunasinghe,11.665,9,7
C Jonker,4.971666667,2,1
C Karunaratne,12.375,12,1
C Kieswetter,0,0,2
C le Roux,6.265,19.5,8
C Madan,0,0,8
C Mathurin,0,0,5
C Munro,8.688571429,12.32857143,1
C Musoko,8.45,13.2,2
C Nanda,6.875,21.25,7
C Overton,10.11666667,33,1
C Pervez,6.945,8.7,1
C Pietersen,6.99,19.5,5
C Piumal,7.35,12.4,9
C Rajapaksa,13.55,5,8
C Rushworth,7.731666667,19.55,1
C Saini,9,0,0
C Salley,0,0,2
C Samantha,0,0,8
C Samboer,0,0,5
C Sawad,7.27,15.8,1
C Sudharaka,7.89,19,8
C Thirimanne,0,0,7
C Tshiki,0,0,0
C Viljoen,6.33,19.96,1
C Waiswa,7.18,28.36666667,1
C White,0,1,5
C Wright,9,18,0
C Zhuwao,4.85,18.2,1
CA Dry,7.183333333,32.5,9
CA Ingram,3.5625,7.0625,1
CA Lewis,4.37,16,7
CA Lynn,4.325714286,2.285714286,5
CA Morris,0,0,2
CA Philipson,0,0,1
CA Pujara,0,0,7
CA Rose,9.172,31.2,8
CA Soper,5.745,15.15,5
CA Thyssen,0.833333333,0,7
CA Williams,5.33,18,5
CA Young,7.07,32.6,9
CAH Barron,0,0,2
CAH Stevenson,9.665,9,5
CAJ Meschede,8.726666667,15.78333333,1
CAJ Morris,8.25,12,8
CAK Rajitha,7.555,12.2,1
CAK Walton,0,0,8
CAM Madusanka,9.065,12.75,1
Carl Cachopa,8.72,10,4
CB Bailey,9.3,26,2
CB Cooke,0,0,1
CB Hampson,5.75,8,1
